"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1154561000","001","복지경로당","서울특별시 금천구 벚꽃로10길 94","","167.00","40","","20240520","20240930","126.895285","37.464581","190736.156408","540578.234704"
"2025","1154561000","005","독산1동주민센터","서울특별시 금천구 시흥대로123길 11","","108.00","100","","20240520","20240930","126.897049","37.470222","190892.888019","541204.081872"
"2025","1154561000","002","금천한내어르신복지센터","서울특별시 금천구 한내로 69-15 ","","150.00","30","","20240520","20240930","126.886988","37.457158","190001.181980","539755.264565"
"2025","1154561000","001","영보경로당","서울특별시 금천구 시흥대로141길 61-1 ","","229.80","40","","20240520","20240930","126.897327","37.475583","190918.137647","541799.109529"
"2025","1154563000","001","세일경로당","서울특별시 금천구 시흥대로147길 30-15 ","","110.00","50","","20240520","20240930","126.896187","37.474779","190817.201426","541709.997940"
"2025","1120055000","001","사근 제4경로당","서울특별시 성동구 사근동길 72","","71.00","21","","20240520","20240930","127.048934","37.561079","204323.501515","551284.250245"
"2025","1120056000","005","행당1동주민센터","서울특별시 성동구 고산자로10길 18","","1,605.00","7","","20240520","20240930","127.036117","37.558516","203191.167962","550999.252988"
"2025","1120056000","099","성동구청(책마루)","서울특별시 성동구 고산자로 270","","703.00","50","폭염특보 중 폭염경보 발효 시에만 24시간 운영(폭염주의보 발효 시에는 미운영) ","20240520","20240930","127.036734","37.563319","203245.475503","551532.383689"
"2025","1120056000","099","성동구립도서관","서울특별시 성동구 고산자로10길 9","","100.00","30","","20240520","20240930","127.034928","37.559170","203086.085218","551071.832831"
"2025","1120057000","001","행현경로당","서울특별시 성동구 행당로11길 20","","77.00","22","","20240520","20240930","127.030374","37.559405","202683.687595","551097.786366"
"2025","1120057000","005","행당2동주민센터","서울특별시 성동구 행당로9길 9","","64.80","7","","20240520","20240930","127.029360","37.558238","202594.153398","550968.245832"
"2025","1120057000","001","행당제2경로당","서울특별시 성동구 행당로11길 14-9 ","","43.00","13","","20240520","20240930","127.030945","37.559211","202734.163266","551076.248928"
"2025","1120058000","001","광희경로당","서울특별시 성동구 독서당로62길 22-15 ","","40.00","12","","20240520","20240930","127.033046","37.549975","202920.158687","550051.259600"
"2025","1120058000","001","응봉경로당","서울특별시 성동구 독서당로59길 39","","82.00","24","","20240520","20240930","127.031576","37.552507","202790.165564","550332.247687"
